GeneId	GeneName	GOIds	GoNames	Type
MGI:MGI:2181693	Il23r	GO:0042019|GO:0032693|GO:0034341|GO:0005143|GO:0043235|GO:0002230|GO:0002376|GO:0005886|GO:0002443|GO:0007259|GO:0005887|GO:0006954|GO:0032735|GO:0019221|GO:0042020|GO:0045087|GO:0016020|GO:0032729|GO:0016021|GO:0072536|GO:0002827|GO:0032496	interleukin-23 binding|negative regulation of interleukin-10 production|response to interferon-gamma|interleukin-12 receptor binding|receptor complex|positive regulation of defense response to virus by host|immune system process|plasma membrane|leukocyte mediated immunity|JAK-STAT cascade|integral component of plasma membrane|inflammatory response|positive regulation of interleukin-12 production|cytokine-mediated signaling pathway|interleukin-23 receptor activity|innate immune response|membrane|positive regulation of interferon-gamma production|integral component of membrane|interleukin-23 receptor complex|positive regulation of T-helper 1 type immune response|response to lipopolysaccharide		protein
MGI:MGI:2429764	Trpv5	GO:0055074|GO:0055085|GO:0005262|GO:0006810|GO:0005886|GO:0060402|GO:0006874|GO:0005216|GO:0005623|GO:0005887|GO:0035809|GO:0005516|GO:0006811|GO:0005515|GO:0046872|GO:0051262|GO:0006816|GO:0016020|GO:0016021|GO:0070588|GO:0098703|GO:0031226|GO:0016324	calcium ion homeostasis|transmembrane transport|calcium channel activity|transport|plasma membrane|calcium ion transport into cytosol|cellular calcium ion homeostasis|ion channel activity|cell|integral component of plasma membrane|regulation of urine volume|calmodulin binding|ion transport|protein binding|metal ion binding|protein tetramerization|calcium ion transport|membrane|integral component of membrane|calcium ion transmembrane transport|calcium ion import across plasma membrane|intrinsic component of plasma membrane|apical plasma membrane	CaT2|ECaC1	protein
MGI:MGI:1913758	Lamtor1	GO:0007032|GO:0060620|GO:0042632|GO:0032947|GO:0071230|GO:0005768|GO:0070062|GO:0051020|GO:0010874|GO:0032008|GO:0010872|GO:0007040|GO:0005085|GO:0043410|GO:0005886|GO:0005764|GO:0032418|GO:0031902|GO:0005515|GO:0032439|GO:0016020|GO:0045121|GO:0071986|GO:0001919|GO:0016049|GO:0034613	endosome organization|regulation of cholesterol import|cholesterol homeostasis|protein complex scaffold activity|cellular response to amino acid stimulus|endosome|extracellular exosome|GTPase binding|regulation of cholesterol efflux|positive regulation of TOR signaling|regulation of cholesterol esterification|lysosome organization|guanyl-nucleotide exchange factor activity|positive regulation of MAPK cascade|plasma membrane|lysosome|lysosome localization|late endosome membrane|protein binding|endosome localization|membrane|membrane raft|Ragulator complex|regulation of receptor recycling|cell growth|cellular protein localization	2400001E08Rik|p18	protein
MGI:MGI:2181676	Ackr4	GO:0004930|GO:0006935|GO:0019956|GO:0005768|GO:0007186|GO:0007165|GO:0016020|GO:0005044|GO:0016021|GO:0004871|GO:0005886|GO:0004950	G-protein coupled receptor activity|chemotaxis|chemokine binding|endosome|G-protein coupled receptor signaling pathway|signal transduction|membrane|scavenger receptor activity|integral component of membrane|signal transducer activity|plasma membrane|chemokine receptor activity	A630091E18Rik|CCBP2|CCR11|Ccrl1|CCX-CKR|PPR1|VSHK1	protein
MGI:MGI:2142908	Myzap	GO:0005515|GO:0005856|GO:0005737|GO:0016020|GO:0030054|GO:0031234|GO:0031674|GO:0005622|GO:0005886|GO:0030864|GO:0035556	protein binding|cytoskeleton|cytoplasm|membrane|cell junction|extrinsic component of cytoplasmic side of plasma membrane|I band|intracellular|plasma membrane|cortical actin cytoskeleton|intracellular signal transduction	Gcom1|Grinl1a7|Myozap	protein
MGI:MGI:2441992	Gpr4	GO:0060055|GO:0016525|GO:0035025|GO:0007186|GO:0007165|GO:0004871|GO:0005886|GO:0004930|GO:0005887|GO:0051482|GO:0016020|GO:0072144|GO:0016021|GO:0010447	angiogenesis involved in wound healing|negative regulation of angiogenesis|positive regulation of Rho protein signal transduction|G-protein coupled receptor signaling pathway|signal transduction|signal transducer activity|plasma membrane|G-protein coupled receptor activity|integral component of plasma membrane|positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway|membrane|glomerular mesangial cell development|integral component of membrane|response to acidic pH		protein
MGI:MGI:2149635	Slc13a3	GO:0015137|GO:0055085|GO:0015362|GO:0015141|GO:0015183|GO:0015293|GO:0005310|GO:0005343|GO:0006810|GO:0005215|GO:0005886|GO:0006835|GO:0005887|GO:0006814|GO:0006811|GO:0070062|GO:0016020|GO:0017153|GO:0016021|GO:0015746|GO:0015744|GO:0015810	citrate transmembrane transporter activity|transmembrane transport|high-affinity sodium:dicarboxylate symporter activity|succinate transmembrane transporter activity|L-aspartate transmembrane transporter activity|symporter activity|dicarboxylic acid transmembrane transporter activity|organic acid:sodium symporter activity|transport|transporter activity|plasma membrane|dicarboxylic acid transport|integral component of plasma membrane|sodium ion transport|ion transport|extracellular exosome|membrane|sodium:dicarboxylate symporter activity|integral component of membrane|citrate transport|succinate transport|aspartate transport	NaDC3|NaDC-3|SDCT2	protein
MGI:MGI:1913709	Pyurf	GO:0005789|GO:0006506|GO:0009893|GO:0000506|GO:0005739|GO:0003674|GO:0005886	endoplasmic reticulum membrane|GPI anchor biosynthetic process|positive regulation of metabolic process|glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex|mitochondrion|molecular_function|plasma membrane	2610022G08Rik|Pigy	protein
MGI:MGI:2441950	Adgrl3	GO:0007186|GO:0007165|GO:0042220|GO:0007166|GO:0004871|GO:0042995|GO:0005886|GO:0004930|GO:0005887|GO:0001764|GO:0007416|GO:0031987|GO:0004888|GO:0005515|GO:0005911|GO:0046872|GO:0005509|GO:0098742|GO:0016020|GO:0016021|GO:0030054|GO:0030246|GO:0051965|GO:0030424	G-protein coupled receptor signaling pathway|signal transduction|response to cocaine|cell surface receptor signaling pathway|signal transducer activity|cell projection|plasma membrane|G-protein coupled receptor activity|integral component of plasma membrane|neuron migration|synapse assembly|locomotion involved in locomotory behavior|transmembrane signaling receptor activity|protein binding|cell-cell junction|metal ion binding|calcium ion binding|cell-cell adhesion via plasma-membrane adhesion molecules|membrane|integral component of membrane|cell junction|carbohydrate binding|positive regulation of synapse assembly|axon	5430402I23Rik|D130075K09Rik|LEC3|lectomedin 3|Lphn3	protein
MGI:MGI:108295	Pxn	GO:0008360|GO:0018108|GO:0007010|GO:0007179|GO:0005178|GO:0007155|GO:0043542|GO:0048754|GO:0045766|GO:0038191|GO:0000187|GO:0007229|GO:0005925|GO:0001725|GO:0034446|GO:0005829|GO:0017166|GO:0032403|GO:0048041|GO:0030027|GO:0007160|GO:0060396|GO:0019901|GO:0031252|GO:1901652|GO:0008013|GO:0005886|GO:0005515|GO:0005856|GO:0031625|GO:0005737|GO:0006928|GO:0045860|GO:0046872|GO:0051496|GO:0030032|GO:0030054|GO:0051435|GO:0030159	regulation of cell shape|peptidyl-tyrosine phosphorylation|cytoskeleton organization|transforming growth factor beta receptor signaling pathway|integrin binding|cell adhesion|endothelial cell migration|branching morphogenesis of an epithelial tube|positive regulation of angiogenesis|neuropilin binding|activation of MAPK activity|integrin-mediated signaling pathway|focal adhesion|stress fiber|substrate adhesion-dependent cell spreading|cytosol|vinculin binding|protein complex binding|focal adhesion assembly|lamellipodium|cell-matrix adhesion|growth hormone receptor signaling pathway|protein kinase binding|cell leading edge|response to peptide|beta-catenin binding|plasma membrane|protein binding|cytoskeleton|ubiquitin protein ligase binding|cytoplasm|movement of cell or subcellular component|positive regulation of protein kinase activity|metal ion binding|positive regulation of stress fiber assembly|lamellipodium assembly|cell junction|BH4 domain binding|receptor signaling complex scaffold activity	Pax	protein
MGI:MGI:2146813	Plekhh2	GO:0030835|GO:0042802|GO:0005515|GO:0005856|GO:0003779|GO:0005737|GO:0016020|GO:0042995|GO:0005886|GO:0030864|GO:0030027	negative regulation of actin filament depolymerization|identical protein binding|protein binding|cytoskeleton|actin binding|cytoplasm|membrane|cell projection|plasma membrane|cortical actin cytoskeleton|lamellipodium		protein
MGI:MGI:1923993	Gje1	GO:0005921|GO:0035265|GO:0005922|GO:0007154|GO:0000902|GO:0016020|GO:0016021|GO:0030054|GO:0002088|GO:0005575|GO:0003674|GO:0005886	gap junction|organ growth|connexin complex|cell communication|cell morphogenesis|membrane|integral component of membrane|cell junction|lens development in camera-type eye|cellular_component|molecular_function|plasma membrane	AEY12|connexin 23|Cx23|D230044M03Rik|Gjf1|Gsfaey12	protein
MGI:MGI:1923990	Efr3a	GO:0001533|GO:0042803|GO:0070062|GO:0005737|GO:0016020|GO:0005829|GO:0098609|GO:0005622|GO:0005886|GO:0072659	cornified envelope|protein homodimerization activity|extracellular exosome|cytoplasm|membrane|cytosol|cell-cell adhesion|intracellular|plasma membrane|protein localization to plasma membrane	A130089M23Rik|C920006C10Rik|D030063F01Rik	protein
MGI:MGI:2441906	Ghsr	GO:0032094|GO:0042536|GO:0045409|GO:0045927|GO:0060123|GO:0032099|GO:0032691|GO:0046697|GO:0008343|GO:0045923|GO:0007611|GO:0009755|GO:0004930|GO:0051969|GO:2000110|GO:0051963|GO:0036321|GO:0007186|GO:0008154|GO:0050728|GO:1904349|GO:1904468|GO:0009725|GO:0004871|GO:0005886|GO:0030252|GO:0010700|GO:0016520|GO:0120058|GO:1905564|GO:0046676|GO:0043005|GO:0040018|GO:0043568|GO:0032869|GO:0017046|GO:0032100|GO:0090327|GO:1904000|GO:0007165|GO:1903672|GO:1905333|GO:0043134|GO:0042562|GO:0060259|GO:0009986|GO:0016020|GO:0045121|GO:0001616|GO:0016021	response to food|negative regulation of tumor necrosis factor biosynthetic process|negative regulation of interleukin-6 biosynthetic process|positive regulation of growth|regulation of growth hormone secretion|negative regulation of appetite|negative regulation of interleukin-1 beta production|decidualization|adult feeding behavior|positive regulation of fatty acid metabolic process|learning or memory|hormone-mediated signaling pathway|G-protein coupled receptor activity|regulation of transmission of nerve impulse|negative regulation of macrophage apoptotic process|regulation of synapse assembly|ghrelin secretion|G-protein coupled receptor signaling pathway|actin polymerization or depolymerization|negative regulation of inflammatory response|positive regulation of small intestine smooth muscle contraction|negative regulation of tumor necrosis factor secretion|response to hormone|signal transducer activity|plasma membrane|growth hormone secretion|negative regulation of norepinephrine secretion|growth hormone-releasing hormone receptor activity|positive regulation of small intestinal transit|positive regulation of vascular endothelial cell proliferation|negative regulation of insulin secretion|neuron projection|positive regulation of multicellular organism growth|positive regulation of insulin-like growth factor receptor signaling pathway|cellular response to insulin stimulus|peptide hormone binding|positive regulation of appetite|negative regulation of locomotion involved in locomotory behavior|positive regulation of eating behavior|signal transduction|positive regulation of sprouting angiogenesis|regulation of gastric motility|regulation of hindgut contraction|hormone binding|regulation of feeding behavior|cell surface|membrane|membrane raft|growth hormone secretagogue receptor activity|integral component of membrane	C530020I22Rik|Ghsr1a	protein
MGI:MGI:108247	Tdg	GO:0009790|GO:0006281|GO:0016569|GO:0035562|GO:0006284|GO:0016605|GO:0006285|GO:0008263|GO:0080111|GO:0003690|GO:0001104|GO:0032091|GO:0043621|GO:0005654|GO:0000122|GO:0000287|GO:0005524|GO:0019104|GO:0030983|GO:0005080|GO:0032183|GO:0019904|GO:0042803|GO:0006351|GO:0043739|GO:0006355|GO:0006298|GO:0008134|GO:1902544|GO:0006974|GO:0005886|GO:0040029|GO:0003677|GO:0005634|GO:0031404|GO:0004844|GO:0005515|GO:0031402|GO:0016787	embryo development|DNA repair|covalent chromatin modification|negative regulation of chromatin binding|base-excision repair|PML body|base-excision repair, AP site formation|pyrimidine-specific mismatch base pair DNA N-glycosylase activity|DNA demethylation|double-stranded DNA binding|RNA polymerase II transcription cofactor activity|negative regulation of protein binding|protein self-association|nucleoplasm|negative regulation of transcription from RNA polymerase II promoter|magnesium ion binding|ATP binding|DNA N-glycosylase activity|mismatched DNA binding|protein kinase C binding|SUMO binding|protein domain specific binding|protein homodimerization activity|transcription, DNA-templated|G/U mismatch-specific uracil-DNA glycosylase activity|regulation of transcription, DNA-templated|mismatch repair|transcription factor binding|regulation of DNA N-glycosylase activity|cellular response to DNA damage stimulus|plasma membrane|regulation of gene expression, epigenetic|DNA binding|nucleus|chloride ion binding|uracil DNA N-glycosylase activity|protein binding|sodium ion binding|hydrolase activity	E130317C12Rik|Jza1	protein
MGI:MGI:108212	Ripk1	GO:0070926|GO:0043068|GO:1901026|GO:0007257|GO:0046777|GO:0051291|GO:0051092|GO:0045651|GO:0006915|GO:0005829|GO:0032760|GO:0097527|GO:0032403|GO:0036289|GO:0051260|GO:0004672|GO:0005123|GO:0043235|GO:0043234|GO:0004674|GO:0004871|GO:0005886|GO:0032757|GO:0005515|GO:0031625|GO:0071363|GO:0070231|GO:0010940|GO:0031264|GO:0010942|GO:0070513|GO:0034612|GO:0043123|GO:0097191|GO:1905206|GO:0043124|GO:0044257|GO:0006468|GO:0045944|GO:0060545|GO:0000166|GO:0097342|GO:0005524|GO:0097343|GO:0070266|GO:0016032|GO:2000377|GO:0071356|GO:0016310|GO:0051347|GO:0042327|GO:2001240|GO:0042802|GO:0007165|GO:0043410|GO:1990000|GO:0005737|GO:0046330|GO:0001934|GO:0005739|GO:0016020|GO:0043065|GO:0045121|GO:2001237|GO:2001238|GO:0016740|GO:0012501|GO:0016301	regulation of ATP:ADP antiporter activity|positive regulation of programmed cell death|ripoptosome assembly involved in necroptotic process|activation of JUN kinase activity|protein autophosphorylation|protein heterooligomerization|positive regulation of NF-kappaB transcription factor activity|positive regulation of macrophage differentiation|apoptotic process|cytosol|positive regulation of tumor necrosis factor production|necroptotic signaling pathway|protein complex binding|peptidyl-serine autophosphorylation|protein homooligomerization|protein kinase activity|death receptor binding|receptor complex|protein complex|protein serine/threonine kinase activity|signal transducer activity|plasma membrane|positive regulation of interleukin-8 production|protein binding|ubiquitin protein ligase binding|cellular response to growth factor stimulus|T cell apoptotic process|positive regulation of necrotic cell death|death-inducing signaling complex|positive regulation of cell death|death domain binding|response to tumor necrosis factor|positive regulation of I-kappaB kinase/NF-kappaB signaling|extrinsic apoptotic signaling pathway|positive regulation of hydrogen peroxide-induced cell death|negative regulation of I-kappaB kinase/NF-kappaB signaling|cellular protein catabolic process|protein phosphorylation|positive regulation of transcription from RNA polymerase II promoter|positive regulation of necroptotic process|nucleotide binding|ripoptosome|ATP binding|ripoptosome assembly|necroptotic process|viral process|regulation of reactive oxygen species metabolic process|cellular response to tumor necrosis factor|phosphorylation|positive regulation of transferase activity|positive regulation of phosphorylation|negative regulation of extrinsic apoptotic signaling pathway in absence of ligand|identical protein binding|signal transduction|positive regulation of MAPK cascade|amyloid fibril formation|cytoplasm|positive regulation of JNK cascade|positive regulation of protein phosphorylation|mitochondrion|membrane|positive regulation of apoptotic process|membrane raft|negative regulation of extrinsic apoptotic signaling pathway|positive regulation of extrinsic apoptotic signaling pathway|transferase activity|programmed cell death|kinase activity	Rinp|Rip1	protein
MGI:MGI:1923959	Arpc2	GO:0051491|GO:0045202|GO:0030426|GO:0097440|GO:0043198|GO:0043197|GO:0015629|GO:0032403|GO:0030027|GO:0010592|GO:2000251|GO:0030141|GO:0036120|GO:0005200|GO:1900026|GO:1904628|GO:0005886|GO:0043679|GO:0005885|GO:0051015|GO:0005515|GO:0003779|GO:0071364|GO:0030054|GO:0031941|GO:0071803|GO:0090314|GO:0036195|GO:0061834|GO:0061835|GO:0043204|GO:0061830|GO:0042995|GO:0043005|GO:1905926|GO:0005768|GO:0070062|GO:0005925|GO:2000814|GO:0032587|GO:0014911|GO:0071437|GO:0035254|GO:0031252|GO:0030041|GO:0061825|GO:0061826|GO:0009986|GO:0030833|GO:0005856|GO:0072752|GO:0005737|GO:0030838|GO:0034314|GO:0051117|GO:0090725	positive regulation of filopodium assembly|synapse|growth cone|apical dendrite|dendritic shaft|dendritic spine|actin cytoskeleton|protein complex binding|lamellipodium|positive regulation of lamellipodium assembly|positive regulation of actin cytoskeleton reorganization|secretory granule|cellular response to platelet-derived growth factor stimulus|structural constituent of cytoskeleton|positive regulation of substrate adhesion-dependent cell spreading|cellular response to phorbol 13-acetate 12-myristate|plasma membrane|axon terminus|Arp2/3 protein complex|actin filament binding|protein binding|actin binding|cellular response to epidermal growth factor stimulus|cell junction|filamentous actin|positive regulation of podosome assembly|positive regulation of protein targeting to membrane|muscle cell projection membrane|actin filament branch point|ventral surface of cell|perikaryon|concave side of sperm head|cell projection|neuron projection|positive regulation of invadopodium assembly|endosome|extracellular exosome|focal adhesion|positive regulation of barbed-end actin filament capping|ruffle membrane|positive regulation of smooth muscle cell migration|invadopodium|glutamate receptor binding|cell leading edge|actin filament polymerization|podosome core|podosome ring|cell surface|regulation of actin filament polymerization|cytoskeleton|cellular response to rapamycin|cytoplasm|positive regulation of actin filament polymerization|Arp2/3 complex-mediated actin nucleation|ATPase binding|peripheral region of growth cone	2210023N03Rik|p34-Arc	protein
MGI:MGI:95836	Grpr	GO:0035176|GO:0036343|GO:0043207|GO:0042923|GO:0007186|GO:0008188|GO:0007165|GO:0007200|GO:0004871|GO:0005886|GO:0042127|GO:0061744|GO:0007611|GO:0004930|GO:0005887|GO:0008528|GO:0005515|GO:0004946|GO:0016020|GO:0016021	social behavior|psychomotor behavior|response to external biotic stimulus|neuropeptide binding|G-protein coupled receptor signaling pathway|neuropeptide receptor activity|signal transduction|phospholipase C-activating G-protein coupled receptor signaling pathway|signal transducer activity|plasma membrane|regulation of cell proliferation|motor behavior|learning or memory|G-protein coupled receptor activity|integral component of plasma membrane|G-protein coupled peptide receptor activity|protein binding|bombesin receptor activity|membrane|integral component of membrane	bombesin receptor|GRP-R	protein
MGI:MGI:95835	Hspa5	GO:0016887|GO:0043209|GO:0005790|GO:0005793|GO:0040019|GO:0006983|GO:0000166|GO:0005789|GO:0005524|GO:0005788|GO:0021680|GO:0070062|GO:0005925|GO:0045296|GO:0071353|GO:0031398|GO:0035437|GO:0010976|GO:0031012|GO:0034663|GO:0008180|GO:0051603|GO:0051787|GO:0019904|GO:0021589|GO:0005783|GO:0051082|GO:0043234|GO:1901998|GO:0005886|GO:0042149|GO:0009986|GO:0005634|GO:0006987|GO:0005515|GO:0031625|GO:0005737|GO:0043022|GO:0043066|GO:0005739|GO:0016020|GO:0030176|GO:0030496|GO:0030512|GO:0034976|GO:0019899|GO:0030335	ATPase activity|myelin sheath|smooth endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|positive regulation of embryonic development|ER overload response|nucleotide binding|endoplasmic reticulum membrane|ATP binding|endoplasmic reticulum lumen|cerebellar Purkinje cell layer development|extracellular exosome|focal adhesion|cadherin binding|cellular response to interleukin-4|positive regulation of protein ubiquitination|maintenance of protein localization in endoplasmic reticulum|positive regulation of neuron projection development|extracellular matrix|endoplasmic reticulum chaperone complex|COP9 signalosome|proteolysis involved in cellular protein catabolic process|misfolded protein binding|protein domain specific binding|cerebellum structural organization|endoplasmic reticulum|unfolded protein binding|protein complex|toxin transport|plasma membrane|cellular response to glucose starvation|cell surface|nucleus|activation of signaling protein activity involved in unfolded protein response|protein binding|ubiquitin protein ligase binding|cytoplasm|ribosome binding|negative regulation of apoptotic process|mitochondrion|membrane|integral component of endoplasmic reticulum membrane|midbody|negative regulation of transforming growth factor beta receptor signaling pathway|response to endoplasmic reticulum stress|enzyme binding|positive regulation of cell migration	78kDa|baffled|Bip|D2Wsu141e|D2Wsu17e|Grp78|Hsce70|mBiP|Sez7|XAP-1 antigen	protein
MGI:MGI:95834	Pdia3	GO:0015037|GO:0043209|GO:0005790|GO:0005576|GO:0003723|GO:0070062|GO:0005925|GO:0001669|GO:0016853|GO:0042802|GO:0042825|GO:1903334|GO:0005783|GO:0042288|GO:0045454|GO:0008233|GO:0006457|GO:0005886|GO:0009986|GO:0005634|GO:0005615|GO:0005758|GO:0003756|GO:0005515|GO:0019153|GO:0005737|GO:0005739|GO:2001238|GO:0016324|GO:0034976|GO:0071305	peptide disulfide oxidoreductase activity|myelin sheath|smooth endoplasmic reticulum|extracellular region|RNA binding|extracellular exosome|focal adhesion|acrosomal vesicle|isomerase activity|identical protein binding|TAP complex|positive regulation of protein folding|endoplasmic reticulum|MHC class I protein binding|cell redox homeostasis|peptidase activity|protein folding|plasma membrane|cell surface|nucleus|extracellular space|mitochondrial intermembrane space|protein disulfide isomerase activity|protein binding|protein-disulfide reductase (glutathione) activity|cytoplasm|mitochondrion|positive regulation of extrinsic apoptotic signaling pathway|apical plasma membrane|response to endoplasmic reticulum stress|cellular response to vitamin D	Erp|ERp57|ERp60|ERp61|Grp58|PDI|PDI-Q2|Plca	protein
MGI:MGI:2685089	Npc1l1	GO:0008144|GO:0006695|GO:0008203|GO:0008202|GO:0042157|GO:0042632|GO:0005886|GO:0031526|GO:0005319|GO:0006629|GO:0016020|GO:0016021|GO:0030299|GO:0030301|GO:0017137|GO:0031489	drug binding|cholesterol biosynthetic process|cholesterol metabolic process|steroid metabolic process|lipoprotein metabolic process|cholesterol homeostasis|plasma membrane|brush border membrane|lipid transporter activity|lipid metabolic process|membrane|integral component of membrane|intestinal cholesterol absorption|cholesterol transport|Rab GTPase binding|myosin V binding	9130221N23Rik|Niemann-Pick disease, type C1	protein
MGI:MGI:2685084	C2cd4c	GO:0008150|GO:0005509|GO:0005886|GO:0005544	biological_process|calcium ion binding|plasma membrane|calcium-dependent phospholipid binding	4932409I22Rik|Fam148c|LOC237397	protein
MGI:MGI:95823	Grin2d	GO:0022849|GO:0022843|GO:0008344|GO:0045202|GO:0005234|GO:0005623|GO:0005887|GO:0006811|GO:0001964|GO:0045211|GO:0016595|GO:0017146|GO:0005261|GO:0042165|GO:0004872|GO:0004970|GO:0006810|GO:0005886|GO:0004972|GO:0005216|GO:0097553|GO:0016020|GO:0016021|GO:0030054|GO:0051930|GO:0035249	glutamate-gated calcium ion channel activity|voltage-gated cation channel activity|adult locomotory behavior|synapse|extracellularly glutamate-gated ion channel activity|cell|integral component of plasma membrane|ion transport|startle response|postsynaptic membrane|glutamate binding|NMDA selective glutamate receptor complex|cation channel activity|neurotransmitter binding|receptor activity|ionotropic glutamate receptor activity|transport|plasma membrane|NMDA glutamate receptor activity|ion channel activity|calcium ion transmembrane import into cytosol|membrane|integral component of membrane|cell junction|regulation of sensory perception of pain|synaptic transmission, glutamatergic	GluN2D|GluRepsilon4|NMDAR2D|NR2D	protein
MGI:MGI:95822	Grin2c	GO:0014069|GO:0022849|GO:0008104|GO:0009611|GO:0042177|GO:0045202|GO:0005234|GO:0005623|GO:0005887|GO:0006811|GO:0045211|GO:0030165|GO:0033058|GO:0017146|GO:0060079|GO:0005261|GO:0004872|GO:0004970|GO:0006810|GO:0005886|GO:0004972|GO:0005216|GO:0097553|GO:0005515|GO:0042391|GO:0016020|GO:0047485|GO:0016021|GO:0030054|GO:0050885	postsynaptic density|glutamate-gated calcium ion channel activity|protein localization|response to wounding|negative regulation of protein catabolic process|synapse|extracellularly glutamate-gated ion channel activity|cell|integral component of plasma membrane|ion transport|postsynaptic membrane|PDZ domain binding|directional locomotion|NMDA selective glutamate receptor complex|excitatory postsynaptic potential|cation channel activity|receptor activity|ionotropic glutamate receptor activity|transport|plasma membrane|NMDA glutamate receptor activity|ion channel activity|calcium ion transmembrane import into cytosol|protein binding|regulation of membrane potential|membrane|protein N-terminus binding|integral component of membrane|cell junction|neuromuscular process controlling balance	GluRepsilon3|NMDAR2C|NR2C	protein
MGI:MGI:95820	Grin2a	GO:0042734|GO:0014069|GO:0042417|GO:0008021|GO:0022849|GO:0050839|GO:0008104|GO:0022843|GO:0042177|GO:0008542|GO:0022008|GO:0045202|GO:0007612|GO:0005234|GO:0007613|GO:0007611|GO:0071294|GO:0043195|GO:0045211|GO:0046982|GO:0048169|GO:0043197|GO:0048167|GO:0001508|GO:0033058|GO:0060291|GO:0017146|GO:0032403|GO:0035235|GO:0019901|GO:0060078|GO:0008270|GO:0042428|GO:0060079|GO:0007268|GO:0046983|GO:0004872|GO:0006810|GO:0005886|GO:0005515|GO:0042391|GO:0046872|GO:0019233|GO:0030054|GO:0050804|GO:0010942|GO:0051930|GO:0040011|GO:1900273|GO:0009611|GO:0043005|GO:0005887|GO:0045471|GO:0071230|GO:0006811|GO:0007626|GO:0001964|GO:0051262|GO:0006816|GO:0016595|GO:0098839|GO:0035254|GO:0005262|GO:0005261|GO:0042165|GO:0005783|GO:0099061|GO:0004970|GO:0005102|GO:0004972|GO:0009986|GO:0005216|GO:0097110|GO:0097553|GO:0001975|GO:0048511|GO:0042493|GO:0016020|GO:0043065|GO:0016021|GO:0030431|GO:2000463|GO:0051117	presynaptic membrane|postsynaptic density|dopamine metabolic process|synaptic vesicle|glutamate-gated calcium ion channel activity|cell adhesion molecule binding|protein localization|voltage-gated cation channel activity|negative regulation of protein catabolic process|visual learning|neurogenesis|synapse|learning|extracellularly glutamate-gated ion channel activity|memory|learning or memory|cellular response to zinc ion|terminal bouton|postsynaptic membrane|protein heterodimerization activity|regulation of long-term neuronal synaptic plasticity|dendritic spine|regulation of synaptic plasticity|action potential|directional locomotion|long-term synaptic potentiation|NMDA selective glutamate receptor complex|protein complex binding|ionotropic glutamate receptor signaling pathway|protein kinase binding|regulation of postsynaptic membrane potential|zinc ion binding|serotonin metabolic process|excitatory postsynaptic potential|chemical synaptic transmission|protein dimerization activity|receptor activity|transport|plasma membrane|protein binding|regulation of membrane potential|metal ion binding|sensory perception of pain|cell junction|modulation of chemical synaptic transmission|positive regulation of cell death|regulation of sensory perception of pain|locomotion|positive regulation of long-term synaptic potentiation|response to wounding|neuron projection|integral component of plasma membrane|response to ethanol|cellular response to amino acid stimulus|ion transport|locomotory behavior|startle response|protein tetramerization|calcium ion transport|glutamate binding|postsynaptic density membrane|glutamate receptor binding|calcium channel activity|cation channel activity|neurotransmitter binding|endoplasmic reticulum|integral component of postsynaptic density membrane|ionotropic glutamate receptor activity|receptor binding|NMDA glutamate receptor activity|cell surface|ion channel activity|scaffold protein binding|calcium ion transmembrane import into cytosol|response to amphetamine|rhythmic process|response to drug|membrane|positive regulation of apoptotic process|integral component of membrane|sleep|positive regulation of excitatory postsynaptic potential|ATPase binding	GluN2A|GluRepsilon1|NMDAR2A|NR2A	protein
MGI:MGI:2443878	Slc4a7	GO:0061299|GO:0015293|GO:0005452|GO:0045202|GO:0006820|GO:0042995|GO:0005215|GO:0005887|GO:0006814|GO:0006811|GO:0031410|GO:0032420|GO:0021747|GO:0046666|GO:0008510|GO:0060219|GO:0007601|GO:0006810|GO:0005886|GO:0060117|GO:0051453|GO:0005515|GO:0005737|GO:0008509|GO:0016020|GO:0016021|GO:0016323|GO:0016324	retina vasculature morphogenesis in camera-type eye|symporter activity|inorganic anion exchanger activity|synapse|anion transport|cell projection|transporter activity|integral component of plasma membrane|sodium ion transport|ion transport|cytoplasmic vesicle|stereocilium|cochlear nucleus development|retinal cell programmed cell death|sodium:bicarbonate symporter activity|camera-type eye photoreceptor cell differentiation|visual perception|transport|plasma membrane|auditory receptor cell development|regulation of intracellular pH|protein binding|cytoplasm|anion transmembrane transporter activity|membrane|integral component of membrane|basolateral plasma membrane|apical plasma membrane	E430014N10Rik|NBC3|NBCn1	protein
MGI:MGI:2685076	Taar8a	GO:0004930|GO:0007186|GO:0007165|GO:0016020|GO:0016021|GO:0001594|GO:0004871|GO:0005886|GO:0008227	G-protein coupled receptor activity|G-protein coupled receptor signaling pathway|signal transduction|membrane|integral component of membrane|trace-amine receptor activity|signal transducer activity|plasma membrane|G-protein coupled amine receptor activity	LOC215859	protein
